customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents
6502-HCJTI,Male,78,No,Yes,Yes,No,0
8258-GSTJK,Male,74,No,Yes,No,No,0
6686-YPGHK,Male,65,No,Yes,No,No,0
8020-BWHYL,Female,70,No,Yes,No,No,0
6892-XPFPU,Male,70,No,Yes,Yes,No,0
8062-YBDOE,Male,70,No,Yes,No,No,0
3672-YITQD,Male,71,No,Yes,Yes,No,0
3776-EKTKM,Female,79,No,Yes,No,No,0
0643-OKLRP,Female,73,No,Yes,Yes,No,0
1075-BGWOH,Male,69,No,Yes,Yes,No,0
8485-GJCDN,Female,71,No,Yes,No,No,0
6029-WTIPC,Male,73,No,Yes,No,No,0
3317-HRTNN,Female,79,No,Yes,No,No,0
5569-OUICF,Female,67,No,Yes,Yes,No,0
2982-IHMFT,Female,75,No,Yes,No,No,0
5143-EGQFK,Female,76,No,Yes,No,No,0
6168-WFVVF,Female,69,No,Yes,No,No,0
6005-OBZPH,Female,68,No,Yes,No,No,0
7932-WPTDS,Female,77,No,Yes,Yes,No,0
7000-WCEVQ,Female,67,No,Yes,No,No,0
2506-TNFCO,Female,76,No,Yes,Yes,No,0
6060-DRTNL,Female,66,No,Yes,No,No,0
1976-CFOCS,Female,69,No,Yes,Yes,No,0
4631-OACRM,Male,78,No,Yes,No,No,0
3755-JBMNH,Male,78,No,Yes,Yes,No,0
0013-EXCHZ,Female,75,No,Yes,Yes,No,0
5550-VFRLC,Female,70,No,Yes,No,No,0
2657-ALMWY,Female,65,No,Yes,Yes,No,0
2460-FPSYH,Female,72,No,Yes,No,No,0
5028-HTLJB,Male,69,No,Yes,No,No,0
0875-CABNR,Female,70,No,Yes,No,No,0
6982-UQZLY,Female,80,No,Yes,Yes,No,0
0193-ESZXP,Female,73,No,Yes,Yes,No,0
4369-HTUIF,Male,73,No,Yes,No,No,0
5287-QWLKY,Male,79,No,Yes,Yes,No,0
3096-JRDSO,Female,73,No,Yes,Yes,No,0
2398-YPMUR,Female,77,No,Yes,Yes,No,0
1265-XTECC,Female,68,No,Yes,Yes,No,0
4871-JTKJF,Female,70,No,Yes,No,No,0
1415-YFWLT,Female,68,No,Yes,No,No,0
3500-RMZLT,Female,76,No,Yes,No,No,0
2642-DTVCO,Male,68,No,Yes,No,No,0
1363-TXLSL,Male,80,No,Yes,Yes,No,0
7136-RVDTZ,Male,79,No,Yes,No,No,0
6927-WTFIV,Male,78,No,Yes,No,No,0
3398-ZOUAA,Male,76,No,Yes,Yes,No,0
4844-JJWUY,Female,65,No,Yes,No,No,0
4785-QRJHC,Male,80,No,Yes,Yes,No,0
1965-AKTSX,Female,65,No,Yes,No,No,0
7248-VZQLC,Female,78,No,Yes,No,No,0
0011-IGKFF,Male,78,No,Yes,Yes,No,0
6496-SLWHQ,Male,68,No,Yes,No,No,0
9912-GVSEQ,Female,73,No,Yes,Yes,No,0
5383-MMTWC,Female,75,No,Yes,Yes,No,0
6877-LGWXO,Male,66,No,Yes,Yes,No,0
5167-GBFRE,Male,73,No,Yes,No,No,0
1324-NLTJE,Female,73,No,Yes,No,No,0
9090-SGQXL,Male,70,No,Yes,Yes,No,0
6595-YGXIT,Male,71,No,Yes,No,No,0
9835-ZIITK,Male,66,No,Yes,Yes,No,0
5649-TJHOV,Male,68,No,Yes,Yes,No,0
9253-QXKBE,Male,73,No,Yes,Yes,No,0
8775-LHDJH,Female,77,No,Yes,Yes,No,0
3097-NQYSN,Male,73,No,Yes,Yes,No,0
3565-UNOCC,Female,65,No,Yes,Yes,No,0
9190-MFJLN,Male,65,No,Yes,No,No,0
1095-JUDTC,Female,78,No,Yes,No,No,0
5385-SUIRI,Male,69,No,Yes,Yes,No,0
6328-ZPBGN,Female,67,No,Yes,No,No,0
3296-SILRA,Female,76,No,Yes,Yes,No,0
5180-UCIIQ,Male,80,No,Yes,Yes,Yes,2
1977-STDKI,Female,72,No,Yes,No,No,0
5813-UECBU,Male,78,No,Yes,No,No,0
4342-HENTK,Female,67,No,Yes,No,No,0
1597-LHYNC,Female,74,No,Yes,No,No,0
8651-ENBZX,Female,68,No,Yes,No,No,0
9286-DOJGF,Female,66,No,Yes,Yes,No,0
8884-ADFVN,Male,65,No,Yes,Yes,No,0
2720-WGKHP,Male,65,No,Yes,No,No,0
9776-CLUJA,Female,69,No,Yes,Yes,No,0
3551-HUAZH,Male,68,No,Yes,No,No,0
8634-MPHTR,Male,68,No,Yes,Yes,No,0
2474-BRUCM,Male,76,No,Yes,Yes,No,0
0616-ATFGB,Male,74,No,Yes,Yes,No,0
7235-NXZCP,Male,79,No,Yes,No,No,0
6661-HBGWL,Female,69,No,Yes,No,No,0
9317-WZPGV,Female,74,No,Yes,No,No,0
7632-MNYOY,Male,69,No,Yes,No,No,0
9248-OJYKK,Male,74,No,Yes,No,No,0
3319-DWOEP,Male,69,No,Yes,Yes,No,0
0818-OCPZO,Male,80,No,Yes,No,No,0
1389-CXMLU,Male,65,No,Yes,No,No,0
5561-NWEVX,Female,78,No,Yes,Yes,No,0
2272-QAGFO,Female,75,No,Yes,No,No,0
3768-NLUBH,Male,73,No,Yes,Yes,No,0
7359-SSBJK,Female,80,No,Yes,No,No,0
7957-RYHQD,Female,65,No,Yes,No,No,0
6230-BSUXY,Female,71,No,Yes,No,No,0
3990-QYKBE,Male,74,No,Yes,Yes,No,0
9274-CNFMO,Male,76,No,Yes,Yes,No,0
5389-FFVKB,Male,71,No,Yes,Yes,No,0
8444-WRIDW,Female,72,No,Yes,No,No,0
5868-YWPDW,Male,76,No,Yes,Yes,No,0
1273-MTETI,Female,69,No,Yes,No,No,0
7142-HVGBG,Male,73,No,Yes,Yes,No,0
0886-QGENL,Female,72,No,Yes,Yes,No,0
8739-WWKDU,Male,69,No,Yes,No,No,0
8685-WHQPW,Female,79,No,Yes,No,No,0
7240-FQLHE,Female,68,No,Yes,Yes,No,0
6664-FPDAC,Female,77,No,Yes,No,No,0
0786-VSSUD,Male,68,No,Yes,No,No,0
1980-KXVPM,Female,68,No,Yes,No,No,0
0723-DRCLG,Female,73,No,Yes,Yes,No,0
6894-LFHLY,Male,79,No,Yes,No,No,0
8361-LTMKD,Male,75,No,Yes,Yes,No,0
3841-NFECX,Female,69,No,Yes,Yes,No,0
4929-XIHVW,Male,79,No,Yes,Yes,No,0
8012-SOUDQ,Female,65,No,Yes,No,No,0
6575-SUVOI,Female,65,No,Yes,Yes,No,0
5067-XJQFU,Male,77,No,Yes,Yes,No,0
1891-QRQSA,Male,71,No,Yes,Yes,No,0
0191-ZHSKZ,Male,80,No,Yes,No,No,0
5386-THSLQ,Female,65,No,Yes,Yes,No,0
3146-MSEGF,Female,71,No,Yes,Yes,No,0
1131-QQZEB,Male,66,No,Yes,Yes,No,0
2504-DSHIH,Male,66,No,Yes,Yes,No,0
9058-HRZSV,Female,77,No,Yes,Yes,No,0
0221-WMXNQ,Male,66,No,Yes,No,No,0
7529-ZDFXI,Male,79,No,Yes,Yes,No,0
4847-TAJYI,Female,77,No,Yes,No,No,0
6851-WEFYX,Male,73,No,Yes,Yes,No,0
2799-ARNLO,Female,67,No,Yes,Yes,No,0
5701-YVSVF,Female,68,No,Yes,Yes,No,0
5697-GOMBF,Female,75,No,Yes,Yes,Yes,3
2739-CACDQ,Female,79,No,Yes,No,No,0
6035-BXTTY,Female,69,No,Yes,No,No,0
0021-IKXGC,Female,72,No,Yes,No,No,0
4654-DLAMQ,Female,69,No,Yes,Yes,No,0
4115-NZRKS,Female,72,No,Yes,No,No,0
0224-RLWWD,Female,73,No,Yes,No,No,0
0177-PXBAT,Male,78,No,Yes,Yes,No,0
2519-ERQOJ,Male,74,No,Yes,No,No,0
0111-KLBQG,Male,71,No,Yes,Yes,Yes,1
1996-DBMUS,Female,72,No,Yes,Yes,No,0
2055-SIFSS,Female,75,No,Yes,Yes,No,0
2806-MLNTI,Male,79,No,Yes,Yes,No,0
9076-AXYIK,Male,66,No,Yes,Yes,No,0
4933-IKULF,Female,71,No,Yes,No,No,0
3780-DDGSE,Male,77,No,Yes,Yes,Yes,1
4612-SSVHJ,Female,74,No,Yes,No,No,0
5756-OZRIO,Male,73,No,Yes,Yes,No,0
4513-CXYIX,Female,73,No,Yes,Yes,No,0
4332-MUOEZ,Male,78,No,Yes,Yes,No,0
6705-LXORM,Female,79,No,Yes,Yes,No,0
4109-CYRBD,Male,77,No,Yes,Yes,No,0
0356-OBMAC,Female,80,No,Yes,No,No,0
4676-MQUEA,Male,80,No,Yes,Yes,No,0
7025-WCBNE,Male,74,No,Yes,No,No,0
6030-REHUX,Female,76,No,Yes,Yes,No,0
6689-VRRTK,Female,71,No,Yes,No,No,0
4881-JVQOD,Male,73,No,Yes,Yes,Yes,3
6797-UCJHZ,Female,74,No,Yes,Yes,No,0
2469-DTSGX,Female,72,No,Yes,No,No,0
4908-XAXAY,Female,70,No,Yes,No,No,0
3509-GWQGF,Male,74,No,Yes,No,No,0
3729-OWRVL,Male,80,No,Yes,No,No,0
2682-KEVRP,Female,65,No,Yes,No,No,0
9978-HYCIN,Male,72,No,Yes,Yes,Yes,1
8329-UTMVM,Male,76,No,Yes,No,No,0
6952-OMNWB,Male,75,No,Yes,Yes,No,0
6549-YMFAW,Male,70,No,Yes,Yes,No,0
7503-MIOGA,Female,68,No,Yes,Yes,No,0
2499-AJYUA,Female,69,No,Yes,Yes,No,0
6919-ELBGL,Male,75,No,Yes,Yes,No,0
5671-RQRLP,Female,72,No,Yes,Yes,No,0
4785-NKHCX,Male,65,No,Yes,No,No,0
4250-WAROZ,Male,70,No,Yes,Yes,Yes,3
3523-BRGUW,Male,65,No,Yes,No,No,0
2123-AGEEN,Female,66,No,Yes,No,No,0
3956-CJUST,Female,67,No,Yes,No,No,0
4824-GUCBY,Female,77,No,Yes,No,No,0
9904-EHEVJ,Female,66,No,Yes,Yes,Yes,1
2826-DXLQO,Male,80,No,Yes,Yes,No,0
9489-UTFKA,Male,76,No,Yes,Yes,No,0
4849-PYRLQ,Female,80,No,Yes,No,No,0
6419-ZTTLE,Male,69,No,Yes,Yes,No,0
8242-SOQUO,Female,73,No,Yes,No,No,0
7868-TMWMZ,Female,69,No,Yes,Yes,No,0
4829-ZLJTK,Female,80,No,Yes,Yes,No,0
8883-GRDWQ,Male,68,No,Yes,No,No,0
9845-PEEKO,Female,71,No,Yes,No,No,0
3452-ABWRL,Male,70,No,Yes,No,No,0
3082-WQRVY,Male,73,No,Yes,Yes,No,0
2460-NGXBJ,Male,65,No,Yes,Yes,Yes,1
5268-DSMNQ,Female,65,No,Yes,Yes,No,0
6242-MBHPK,Female,67,No,Yes,Yes,No,0
4782-OSFXZ,Female,72,No,Yes,Yes,No,0
1282-IHQAC,Male,68,No,Yes,No,No,0
1641-RQDAY,Female,77,No,Yes,Yes,Yes,2
8089-UZWLX,Female,75,No,Yes,No,No,0
4468-KAZHE,Female,70,No,Yes,Yes,No,0
1543-LLLFT,Male,77,No,Yes,Yes,No,0
0723-VSOBE,Female,67,No,Yes,No,No,0
1251-STYSZ,Female,66,No,Yes,No,No,0
9681-KYGYB,Male,75,No,Yes,Yes,No,0
7005-CYUIL,Female,78,No,Yes,Yes,No,0
3108-PCCGG,Male,75,No,Yes,Yes,No,0
6729-GDNGC,Female,71,No,Yes,No,No,0
4238-HFHSN,Male,66,No,Yes,Yes,No,0
2692-BUCFV,Male,79,No,Yes,No,No,0
5651-WYIPH,Female,69,No,Yes,No,No,0
6896-SRVYQ,Male,69,No,Yes,No,No,0
9052-VKDUW,Female,68,No,Yes,Yes,No,0
6806-YDEUL,Female,67,No,Yes,No,No,0
0222-CNVPT,Male,69,No,Yes,No,No,0
6048-UWKAL,Female,73,No,Yes,Yes,No,0
2277-BKJKN,Female,70,No,Yes,Yes,No,0
8016-ZMGMO,Female,73,No,Yes,Yes,No,0
7905-NJMXS,Male,68,No,Yes,Yes,No,0
9957-YODKZ,Male,75,No,Yes,Yes,No,0
3223-DWFIO,Male,77,No,Yes,No,No,0
3292-PBZEJ,Male,75,No,Yes,No,No,0
9906-NHHVC,Female,75,No,Yes,No,No,0
7351-KYHQH,Female,67,No,Yes,No,No,0
6374-NTQLP,Male,67,No,Yes,Yes,Yes,2
6267-DCFFZ,Female,68,No,Yes,Yes,No,0
2439-LYPMQ,Male,79,No,Yes,Yes,No,0
7426-WEIJX,Male,71,No,Yes,Yes,Yes,1
3761-FLYZI,Female,69,No,Yes,Yes,No,0
1060-ENTOF,Female,70,No,Yes,Yes,No,0
0999-QXNSA,Male,72,No,Yes,No,Yes,1
9365-SRSZE,Male,71,No,Yes,Yes,No,0
4918-FYJNT,Female,68,No,Yes,Yes,No,0
4854-CIDCF,Female,74,No,Yes,No,No,0
3280-MRDOF,Male,69,No,Yes,No,No,0
1320-REHCS,Male,75,No,Yes,No,No,0
0134-XWXCE,Female,76,No,Yes,No,No,0
2307-FYNNL,Male,67,No,Yes,No,No,0
5605-XNWEN,Male,77,No,Yes,Yes,No,0
2519-LBNQL,Male,80,No,Yes,Yes,No,0
2070-XYMFH,Female,66,No,Yes,No,No,0
5663-QBGIS,Male,65,No,Yes,Yes,No,0
3402-XRIUO,Female,73,No,Yes,Yes,No,0
3537-RYBHH,Female,78,No,Yes,Yes,No,0
7105-MXJLL,Female,76,No,Yes,Yes,No,0
7064-FRRSW,Male,71,No,Yes,No,No,0
3219-JQRSL,Female,70,No,Yes,Yes,No,0
1845-CSBRZ,Female,71,No,Yes,Yes,Yes,1
3723-BFBGR,Male,74,No,Yes,No,No,0
5692-ICXLW,Male,75,No,Yes,No,No,0
7020-OZKXZ,Female,65,No,Yes,No,No,0
8775-ERLNB,Male,76,No,Yes,Yes,No,0
7361-YPXFS,Female,67,No,Yes,No,No,0
6557-BZXLQ,Male,66,No,Yes,No,No,0
7901-TBKJX,Male,76,No,Yes,No,No,0
9919-FZDED,Male,79,No,Yes,Yes,No,0
7206-PQBBZ,Male,76,No,Yes,Yes,No,0
4079-VTGLK,Male,77,No,Yes,Yes,No,0
7375-WMVMT,Male,75,No,Yes,Yes,No,0
7622-FWGEW,Male,71,No,Yes,Yes,No,0
0380-NEAVX,Male,72,No,Yes,No,No,0
8495-LJDFO,Female,76,No,Yes,No,No,0
1302-UHBDD,Male,70,No,Yes,No,No,0
3597-YASZG,Female,73,No,Yes,Yes,No,0
3420-ZDBMA,Male,78,No,Yes,No,No,0
3398-GCPMU,Female,74,No,Yes,Yes,No,0
1013-QCWAM,Female,73,No,Yes,Yes,No,0
0336-PIKEI,Male,69,No,Yes,Yes,No,0
7322-OCWHC,Male,73,No,Yes,Yes,No,0
5732-IKGQH,Male,79,No,Yes,Yes,No,0
0093-EXYQL,Female,72,No,Yes,No,No,0
9168-INPSZ,Female,75,No,Yes,Yes,No,0
0015-UOCOJ,Female,68,No,Yes,No,No,0
1465-LNTLJ,Male,78,No,Yes,Yes,No,0
