customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_value
4919-IKATY,Male,64,No,No,Yes,No,0,Yes,3,5,Offer E,Yes,36.88,Yes,Yes,Fiber Optic,8,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.5,453.75,0.0,0,184.4,638.15,1
7873-CVMAW,Male,61,No,No,No,No,0,No,0,72,None,Yes,46.1,Yes,Yes,DSL,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,88.55,6362.35,0.0,0,3319.2,9681.55,0
4678-DVQEO,Female,41,No,No,No,No,0,No,0,1,None,Yes,34.04,No,Yes,DSL,23,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,52.2,52.2,0.0,0,34.04,86.24,1
2927-QRRQV,Male,44,No,No,Yes,No,0,Yes,1,46,Offer B,Yes,10.13,Yes,Yes,Fiber Optic,3,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,94.65,4312.5,0.0,0,465.98,4778.48,0
0334-GDDSO,Male,77,No,Yes,No,No,0,No,0,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,1
9837-BMCLM,Male,39,No,No,No,No,0,No,0,3,None,Yes,31.88,No,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.5,242.05,0.0,0,95.64,337.69,1
4884-TVUQF,Female,80,No,Yes,No,No,0,No,0,57,Offer B,Yes,36.89,Yes,Yes,Fiber Optic,17,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,101.3,5779.6,0.0,0,2102.73,7882.33,0
0504-HHAPI,Female,72,No,Yes,No,No,0,No,0,27,None,Yes,16.94,Yes,Yes,Fiber Optic,11,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,88.3,2467.75,0.0,0,457.38,2925.13,1
9170-GYZJC,Female,42,No,No,Yes,Yes,3,Yes,1,41,None,Yes,45.26,Yes,Yes,Cable,56,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,79.9,3326.2,0.0,0,1855.66,5181.86,1
0754-UKWQP,Male,63,No,No,No,No,0,No,0,2,None,Yes,37.43,No,Yes,Fiber Optic,18,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.85,197.7,0.0,0,74.86,272.56,1
3372-CDXFJ,Male,31,No,No,Yes,Yes,2,Yes,8,13,None,Yes,48.7,Yes,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,24.5,343.6,0.0,0,633.1,976.7,0
7196-LIWRH,Female,61,No,No,No,No,0,No,0,6,Offer E,Yes,7.35,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.55,124.45,0.0,0,44.1,168.55,0
9314-QDMDW,Male,29,Yes,No,No,No,0,No,0,11,Offer D,Yes,27.84,No,Yes,Cable,59,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,61.25,729.95,0.0,0,306.24,1036.19,0
4189-NAKJS,Male,29,Yes,No,No,No,0,No,0,26,Offer C,Yes,24.67,Yes,Yes,Cable,59,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,51.55,1295.4,0.0,0,641.42,1936.82,0
2830-LEWOA,Male,37,No,No,Yes,Yes,1,Yes,3,61,Offer B,Yes,43.08,No,Yes,Fiber Optic,19,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,103.9,6449.15,0.0,0,2627.88,9077.03,0
2207-OBZNX,Male,56,No,No,No,No,0,No,0,7,None,Yes,34.49,No,Yes,Cable,22,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,51.0,354.05,0.0,0,241.43,595.48,1
9866-QEVEE,Male,58,No,No,No,No,0,No,0,19,Offer D,Yes,20.41,Yes,Yes,Fiber Optic,11,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,86.0,1532.45,0.0,30,387.79,1950.24,1
0013-MHZWF,Female,23,Yes,No,No,Yes,3,No,0,9,Offer E,Yes,16.77,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.38,0
1705-GUHPV,Female,64,No,No,No,No,0,No,0,63,Offer B,Yes,26.74,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,24.2,1618.2,0.0,0,1684.62,3302.82,0
0869-PAPRP,Female,68,No,Yes,Yes,No,0,Yes,4,26,None,Yes,46.24,No,Yes,Fiber Optic,4,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,85.7,2067.0,0.0,0,1202.24,3269.24,0
6180-YBIQI,Male,35,No,No,No,No,0,No,0,5,Offer E,No,0.0,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,24.3,100.2,0.0,0,0.0,100.2,0
4737-AQCPU,Male,39,No,No,Yes,No,0,Yes,5,72,None,Yes,42.55,Yes,Yes,DSL,18,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,72.1,5016.65,0.0,0,3063.6,8080.25,0
3703-TTEPD,Male,28,Yes,No,No,No,0,No,0,21,None,Yes,16.16,No,Yes,DSL,42,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,65.35,1424.4,0.0,0,339.36,1763.76,0
9874-QLCLH,Female,38,No,No,Yes,No,0,Yes,1,17,Offer D,Yes,4.91,Yes,Yes,Fiber Optic,15,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.2,1743.5,0.0,0,83.47,1826.97,1
5207-PLSTK,Male,32,No,No,Yes,Yes,2,Yes,10,1,None,Yes,26.26,No,Yes,DSL,22,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.75,48.75,0.0,0,26.26,75.01,0
7402-PWYJJ,Female,21,Yes,No,Yes,No,0,Yes,2,53,Offer B,Yes,42.18,Yes,Yes,Fiber Optic,53,No,No,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,91.15,4862.5,0.0,150,2235.54,7248.04,0
0836-SEYLU,Male,64,No,No,Yes,No,0,Yes,2,9,Offer E,No,0.0,No,Yes,DSL,26,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,No,Mailed Check,40.65,328.95,0.0,0,0.0,328.95,1
3211-AAPKX,Male,26,Yes,No,No,No,0,No,0,20,None,Yes,23.22,Yes,Yes,Fiber Optic,59,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,98.55,2031.95,0.0,0,464.4,2496.35,0
5898-IGSLP,Male,37,No,No,Yes,Yes,3,Yes,1,31,Offer C,Yes,20.76,Yes,Yes,Fiber Optic,57,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.3,2823.0,0.0,0,643.56,3466.56,0
0680-DFNNY,Male,62,No,No,Yes,No,0,Yes,1,15,None,Yes,40.7,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.1,1504.05,0.0,0,610.5,2114.55,1
0480-BIXDE,Female,58,No,No,Yes,No,0,Yes,9,19,Offer D,Yes,10.68,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,1743.05,0.0,0,202.92,1945.97,0
1697-NVVGY,Male,71,No,Yes,Yes,No,0,Yes,1,19,None,Yes,30.44,No,Yes,DSL,26,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,66.4,1286.05,0.0,0,578.36,1864.41,0
5453-YBTWV,Male,52,No,No,Yes,Yes,2,Yes,10,70,None,Yes,49.67,No,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,101.1,6994.8,0.0,0,3476.9,10471.7,0
8932-CZHRQ,Male,40,No,No,No,No,0,No,0,68,Offer A,Yes,20.29,Yes,Yes,DSL,29,Yes,Yes,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,76.75,5233.25,0.0,0,1379.72,6612.97,0
1069-XAIEM,Female,68,No,Yes,No,No,0,No,0,1,None,Yes,16.37,Yes,Yes,Fiber Optic,7,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.05,85.05,0.0,0,16.37,101.42,1
4074-SJFFA,Female,44,No,No,No,No,0,No,0,1,None,Yes,13.01,No,Yes,DSL,12,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,54.75,54.75,0.0,0,13.01,67.76,1
2788-CJQAQ,Male,39,No,No,No,No,0,No,0,13,Offer D,Yes,22.31,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,19.45,270.2,0.0,0,290.03,560.23,0
7666-WKRON,Female,39,No,No,No,No,0,No,0,39,None,Yes,24.45,No,Yes,Fiber Optic,27,No,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,80.45,3201.55,0.0,0,953.55,4155.1,1
0831-JNISG,Male,52,No,No,Yes,Yes,2,Yes,9,71,Offer A,Yes,23.34,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.8,1396.25,0.0,0,1657.14,3053.39,0
9360-AHGNL,Female,74,No,Yes,Yes,No,0,Yes,7,43,Offer B,Yes,8.75,Yes,Yes,Fiber Optic,13,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,109.55,4830.25,0.0,0,376.25,5206.5,1
0320-JDNQG,Male,28,Yes,No,Yes,No,0,Yes,1,23,None,Yes,37.95,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,2331.3,0.0,0,872.85,3204.15,1
6821-JPCDC,Female,29,Yes,No,Yes,No,0,Yes,4,48,None,Yes,47.64,No,Yes,Fiber Optic,59,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,97.05,4692.95,0.0,0,2286.72,6979.67,0
6128-CZOMY,Female,43,No,No,No,No,0,No,0,1,None,Yes,36.99,No,Yes,Cable,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.65,45.65,0.0,0,36.99,82.64,1
3473-XIIIT,Female,61,No,No,Yes,No,0,Yes,1,16,None,Yes,37.83,Yes,Yes,Cable,26,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.0,1534.75,0.0,0,605.28,2140.03,1
7711-GQBZC,Female,42,No,No,Yes,Yes,1,Yes,1,71,None,Yes,19.49,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.7,1810.55,0.0,0,1383.79,3194.34,0
1343-EHPYB,Male,61,No,No,Yes,No,0,Yes,2,63,None,Yes,48.95,Yes,Yes,Fiber Optic,13,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.4,6603.0,0.0,0,3083.85,9686.85,1
8410-BGQXN,Male,26,Yes,No,No,No,0,No,0,4,None,Yes,22.54,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.4,93.4,0.0,0,90.16,183.56,0
2040-XBAVJ,Male,51,No,No,Yes,Yes,1,No,0,72,Offer A,Yes,24.95,Yes,Yes,Fiber Optic,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,114.45,8100.55,0.0,0,1796.4,9896.95,0
8336-TAVKX,Female,68,No,Yes,Yes,No,0,Yes,10,72,None,Yes,15.82,Yes,Yes,DSL,13,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,78.45,5682.25,0.0,0,1139.04,6821.29,0
8544-GOQSH,Female,51,No,No,No,No,0,No,0,14,Offer D,Yes,1.69,No,Yes,Fiber Optic,21,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.05,1112.3,0.0,0,23.66,1135.96,0
8780-YRMTT,Female,64,No,No,No,No,0,No,0,66,Offer A,No,0.0,No,Yes,DSL,29,Yes,Yes,Yes,Yes,No,No,No,No,Two Year,Yes,Mailed Check,47.4,3177.25,0.0,0,0.0,3177.25,0
9174-FKWZE,Female,70,No,Yes,No,No,0,No,0,1,None,Yes,22.92,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.45,19.45,0.0,0,22.92,42.37,1
1272-ILHFG,Male,48,No,No,Yes,Yes,3,Yes,1,15,Offer D,Yes,17.28,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.65,332.65,0.0,0,259.2,591.85,0
7242-QZLXF,Male,20,Yes,No,No,Yes,3,No,0,1,None,No,0.0,No,Yes,Cable,51,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.3,25.3,0.0,10,0.0,35.3,1
8650-RHRKE,Male,27,Yes,No,No,No,0,No,0,4,Offer E,No,0.0,No,Yes,DSL,48,No,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,29.65,118.5,0.0,0,0.0,118.5,1
7351-KYHQH,Female,67,No,Yes,No,No,0,No,0,7,None,Yes,7.82,No,Yes,Cable,7,No,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,64.95,493.65,0.0,0,54.74,548.39,0
7684-XSZIY,Male,53,No,No,Yes,Yes,3,Yes,3,72,Offer A,Yes,20.42,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.3,1643.25,0.0,0,1470.24,3113.49,0
1568-BEKZM,Male,65,No,Yes,Yes,No,0,Yes,7,70,None,Yes,12.07,Yes,Yes,DSL,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,90.05,6333.4,0.0,0,844.9,7178.3,0
4061-UKJWL,Male,35,No,No,No,No,0,No,0,3,None,Yes,20.37,No,Yes,Cable,17,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.45,141.7,0.0,0,61.11,202.81,0
5651-WYIPH,Female,69,No,Yes,No,No,0,No,0,18,None,Yes,41.13,No,Yes,Cable,23,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Credit Card,49.85,865.75,0.0,0,740.34,1606.09,0
8929-KSWIH,Male,21,Yes,No,No,No,0,No,0,25,Offer C,Yes,4.94,No,Yes,Fiber Optic,51,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,99.3,2513.5,0.0,0,123.5,2637.0,0
8404-VIOMB,Female,52,No,No,No,No,0,No,0,66,None,No,0.0,No,Yes,DSL,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,62.5,4136.4,0.0,0,0.0,4136.4,0
9919-YLNNG,Female,38,No,No,No,No,0,No,0,42,Offer B,Yes,40.15,No,Yes,Fiber Optic,28,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,103.8,4327.5,0.0,110,1686.3,6123.8,0
3503-TYDAY,Female,41,No,No,Yes,No,0,Yes,7,43,Offer B,Yes,41.83,Yes,Yes,Fiber Optic,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,80.45,3398.9,0.0,0,1798.69,5197.59,0
5016-LIPDW,Male,45,No,No,Yes,Yes,2,Yes,1,57,None,Yes,41.56,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.4,1061.6,0.0,0,2368.92,3430.52,0
3709-OIJEA,Male,51,No,No,No,No,0,No,0,26,None,Yes,29.72,No,Yes,Fiber Optic,11,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,85.2,2184.6,0.0,0,772.72,2957.32,0
0345-HKJVM,Female,43,No,No,No,No,0,No,0,6,None,Yes,2.6,No,Yes,Fiber Optic,22,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.3,577.6,0.0,0,15.6,593.2,1
6896-SRVYQ,Male,69,No,Yes,No,No,0,No,0,44,Offer B,Yes,47.06,No,Yes,Fiber Optic,3,No,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,73.85,3122.4,0.0,100,2070.64,5293.04,0
1897-OKVMW,Female,44,No,No,Yes,Yes,1,Yes,3,64,None,Yes,37.0,Yes,Yes,DSL,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,90.6,5817.45,0.0,0,2368.0,8185.45,0
1169-SAOCL,Male,45,No,No,No,No,0,No,0,49,None,Yes,22.52,Yes,Yes,Fiber Optic,25,No,Yes,No,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,106.65,5168.1,0.0,130,1103.48,6401.58,0
3978-YNKDD,Male,62,No,No,No,Yes,2,No,0,19,None,Yes,36.16,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.85,467.5,0.0,0,687.04,1154.54,0
1140-UKVZG,Female,64,No,No,No,No,0,No,0,17,Offer D,Yes,9.84,Yes,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,24.8,475.25,37.06,0,167.28,605.47,0
4129-LYCOI,Female,28,Yes,No,No,Yes,1,No,0,67,None,Yes,12.54,Yes,Yes,Fiber Optic,59,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.0,7039.05,0.0,0,840.18,7879.23,0
4607-CHPCA,Male,63,No,No,Yes,No,0,Yes,1,25,None,Yes,35.27,No,Yes,Fiber Optic,4,No,No,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,90.4,2178.6,0.0,140,881.75,3200.35,1
3521-SYVOR,Female,26,Yes,No,No,No,0,No,0,37,Offer C,Yes,3.27,No,Yes,Cable,71,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64.75,2345.2,0.0,0,120.99,2466.19,1
0459-SPZHJ,Male,19,Yes,No,Yes,No,0,Yes,1,63,None,Yes,13.45,Yes,Yes,DSL,69,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,83.5,5435.0,0.0,0,847.35,6282.35,0
4902-OHLSK,Female,76,No,Yes,No,No,0,No,0,29,None,Yes,20.98,Yes,Yes,Fiber Optic,16,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,98.65,2862.75,0.0,0,608.42,3471.17,1
2074-GUHPQ,Female,37,No,No,No,Yes,2,No,0,17,None,Yes,49.78,Yes,Yes,Fiber Optic,19,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,92.7,1556.85,0.0,0,846.26,2403.11,0
3507-GASNP,Male,49,No,No,No,Yes,2,No,0,60,Offer B,Yes,16.59,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.95,1189.9,0.0,0,995.4,2185.3,0
4381-MHQDC,Female,38,No,No,No,No,0,No,0,47,Offer B,Yes,35.75,Yes,Yes,DSL,13,Yes,No,Yes,Yes,No,No,No,No,Two Year,Yes,Credit Card,65.0,2879.9,0.0,0,1680.25,4560.15,0
1470-PSXNM,Male,27,Yes,No,Yes,Yes,2,Yes,7,49,None,Yes,36.08,Yes,Yes,Fiber Optic,59,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,93.65,4520.15,33.13,0,1767.92,6254.94,0
1431-CYWMH,Female,35,No,No,Yes,Yes,1,No,0,22,Offer D,Yes,46.45,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.05,454.05,0.0,0,1021.9,1475.95,0
7105-BENQF,Male,31,No,No,No,Yes,3,No,0,15,None,Yes,43.69,No,Yes,DSL,29,Yes,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,64.85,950.75,0.0,0,655.35,1606.1,0
9717-IOAAF,Male,54,No,No,No,Yes,1,No,0,27,None,Yes,2.65,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.85,788.55,0.0,0,71.55,860.1,0
6967-QIQRV,Male,23,Yes,No,Yes,Yes,1,Yes,8,15,None,Yes,2.12,No,Yes,Fiber Optic,30,Yes,No,No,Yes,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,101.9,1667.25,0.0,120,31.8,1819.05,0
3170-NMYVV,Female,37,No,No,Yes,No,0,Yes,5,50,Offer B,Yes,26.95,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.15,930.9,0.0,0,1347.5,2278.4,0
3096-GKWEB,Male,42,No,No,Yes,No,0,Yes,1,18,None,Yes,34.17,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,1691.9,0.0,0,615.06,2306.96,0
2923-ARZLG,Male,38,No,No,Yes,Yes,2,Yes,5,10,Offer E,Yes,46.23,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.7,197.54,0.0,0,462.3,659.84,0
8784-CGILN,Female,34,No,No,No,No,0,No,0,18,None,Yes,36.49,Yes,Yes,Fiber Optic,3,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,1776.95,0.0,0,656.82,2433.77,1
1345-GKDZZ,Male,20,Yes,No,No,Yes,1,No,0,6,None,Yes,17.53,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.55,128.6,0.0,0,105.18,233.78,0
7610-TVOPG,Male,48,No,No,No,No,0,No,0,15,None,Yes,7.96,Yes,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,26.35,378.6,0.0,0,119.4,498.0,0
3212-KXOCR,Male,62,No,No,No,No,0,No,0,52,None,Yes,28.3,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,21.0,1107.2,0.0,0,1471.6,2578.8,0
7706-YLMQA,Female,30,No,No,No,No,0,No,0,70,None,Yes,10.0,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.7,1341.5,0.0,0,700.0,2041.5,0
4808-YNLEU,Female,51,No,No,Yes,No,0,Yes,1,35,Offer C,Yes,24.53,No,Yes,DSL,30,Yes,No,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,62.15,2215.45,0.0,0,858.55,3074.0,0
5149-QYTTU,Female,35,No,No,Yes,Yes,1,Yes,3,71,Offer A,Yes,34.53,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,No,No,No,No,One Year,Yes,Credit Card,95.15,6770.85,0.0,0,2451.63,9222.48,0
7964-ZRKKG,Male,44,No,No,Yes,No,0,Yes,1,67,None,Yes,37.6,Yes,Yes,Fiber Optic,23,No,Yes,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,88.4,5798.3,0.0,0,2519.2,8317.5,0
5482-PLVPE,Female,79,No,Yes,No,No,0,No,0,2,None,No,0.0,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.35,41.85,0.0,0,0.0,41.85,1
