paperless_billing,internet_service,online_security,premium_tech_support,unlimited_data,age_bins,family_size_bins,number_of_referrals_bins,contract,offer,payment_method,internet_type,total_of_services_add,tenure_in_months_bins,monthly_charge,churn_value
Yes,Yes,No,Yes,Yes,1,1,0,Month-to-Month,None,Credit Card,Fiber Optic,7,2,92.7,0
No,No,No,No,No,2,1,0,Two Year,Offer B,Credit Card,None,1,3,19.95,0
Yes,Yes,Yes,Yes,No,1,0,0,Two Year,Offer B,Credit Card,DSL,6,3,65.0,0
Yes,Yes,No,No,Yes,0,1,3,One Year,None,Bank Withdrawal,Fiber Optic,6,3,93.65,0
No,No,No,No,No,1,1,0,Month-to-Month,Offer D,Bank Withdrawal,None,1,2,19.05,0
No,Yes,Yes,No,Yes,1,1,0,One Year,None,Credit Card,DSL,5,2,64.85,0
Yes,No,No,No,No,3,0,0,Two Year,None,Credit Card,None,2,3,25.85,0
No,Yes,Yes,Yes,No,0,1,3,One Year,None,Bank Withdrawal,Fiber Optic,4,2,101.9,0
No,No,No,No,No,1,0,2,Two Year,Offer B,Bank Withdrawal,None,1,3,20.15,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,2,94.75,0
Yes,No,No,No,No,1,1,2,One Year,Offer E,Credit Card,None,1,1,19.7,0
Yes,Yes,No,Yes,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,2,99.85,1
No,No,No,No,No,0,0,0,Month-to-Month,None,Credit Card,None,1,0,19.55,0
Yes,No,No,No,No,2,0,0,Month-to-Month,None,Bank Withdrawal,None,2,2,26.35,0
No,No,No,No,No,3,0,0,Two Year,None,Bank Withdrawal,None,1,3,21.0,0
No,No,No,No,No,0,0,0,One Year,None,Bank Withdrawal,None,1,4,19.7,0
Yes,Yes,Yes,No,Yes,3,0,0,One Year,Offer C,Bank Withdrawal,DSL,4,3,62.15,0
Yes,Yes,Yes,Yes,No,1,1,2,One Year,Offer A,Credit Card,Fiber Optic,7,4,95.15,0
Yes,Yes,No,No,Yes,2,0,0,One Year,None,Bank Withdrawal,Fiber Optic,5,4,88.4,0
No,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,DSL,2,0,24.35,1
No,No,No,No,No,1,1,0,Month-to-Month,None,Bank Withdrawal,None,1,0,20.2,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,5,3,100.5,0
Yes,No,No,No,No,2,0,0,Month-to-Month,Offer E,Credit Card,None,1,0,20.25,0
Yes,Yes,No,No,Yes,3,1,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,3,95.95,0
No,Yes,No,Yes,Yes,1,0,0,Month-to-Month,None,Credit Card,DSL,4,1,70.5,0
No,Yes,Yes,Yes,No,3,1,3,Two Year,Offer B,Credit Card,DSL,6,4,63.55,0
No,Yes,Yes,No,Yes,3,0,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,6,2,103.85,0
Yes,Yes,No,No,Yes,2,1,1,Month-to-Month,Offer B,Bank Withdrawal,DSL,5,3,66.8,0
No,Yes,No,Yes,Yes,1,0,1,Two Year,None,Bank Withdrawal,Fiber Optic,6,3,107.95,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,70.15,0
No,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,76.1,0
No,Yes,Yes,Yes,Yes,2,2,2,Two Year,None,Bank Withdrawal,Fiber Optic,8,4,114.6,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Credit Card,Fiber Optic,6,3,83.85,1
No,No,No,No,No,3,2,0,Two Year,None,Credit Card,None,2,2,23.85,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,5,3,101.0,1
No,Yes,No,No,Yes,0,1,3,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,2,85.6,0
No,Yes,Yes,No,Yes,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,1,74.35,0
No,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,DSL,3,0,45.3,1
No,No,No,No,No,2,1,0,One Year,None,Bank Withdrawal,None,1,0,20.5,0
No,Yes,Yes,Yes,No,0,0,0,Two Year,Offer B,Bank Withdrawal,DSL,5,3,57.55,1
No,Yes,Yes,Yes,Yes,2,0,0,Two Year,Offer A,Credit Card,DSL,7,4,77.35,0
No,No,No,No,No,3,0,0,Two Year,Offer B,Mailed Check,None,2,3,25.0,0
No,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,80.5,1
No,Yes,Yes,Yes,Yes,3,0,0,Two Year,None,Bank Withdrawal,DSL,8,4,89.65,0
Yes,Yes,Yes,Yes,Yes,3,0,3,Two Year,None,Credit Card,DSL,6,4,64.8,0
No,Yes,No,Yes,Yes,1,0,0,Month-to-Month,Offer D,Mailed Check,Cable,4,2,51.5,1
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,74.25,1
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,5,3,98.4,1
Yes,Yes,Yes,No,Yes,1,0,1,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,5,3,89.8,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,0,75.45,1
Yes,Yes,Yes,No,Yes,1,0,0,One Year,Offer B,Mailed Check,DSL,5,3,64.3,0
No,No,No,No,No,3,0,0,Month-to-Month,None,Credit Card,None,1,0,19.75,0
Yes,Yes,No,No,No,3,0,3,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,2,2,68.6,0
No,Yes,No,Yes,Yes,2,2,0,Two Year,None,Bank Withdrawal,DSL,4,4,54.65,0
No,Yes,Yes,Yes,Yes,0,0,0,One Year,None,Bank Withdrawal,Cable,8,4,68.8,0
Yes,Yes,No,Yes,Yes,0,0,0,Two Year,Offer A,Bank Withdrawal,Cable,6,4,80.45,0
No,Yes,Yes,No,Yes,0,2,3,Two Year,Offer A,Credit Card,DSL,5,4,38.5,0
No,No,No,No,No,1,0,0,Month-to-Month,None,Credit Card,None,1,1,19.45,0
Yes,Yes,No,Yes,Yes,2,0,2,One Year,None,Credit Card,DSL,6,3,69.55,0
Yes,Yes,No,Yes,Yes,1,1,1,One Year,None,Bank Withdrawal,Fiber Optic,6,3,103.4,0
Yes,Yes,Yes,Yes,Yes,2,0,0,One Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,104.55,0
Yes,Yes,No,Yes,Yes,1,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,6,3,102.6,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Cable,4,1,95.6,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Cable,4,0,50.15,1
No,No,No,No,No,3,0,0,Two Year,None,Bank Withdrawal,None,1,3,19.95,0
No,No,No,No,No,3,0,0,Two Year,None,Mailed Check,None,1,3,20.2,0
Yes,Yes,Yes,Yes,Yes,3,2,3,Month-to-Month,Offer B,Credit Card,Fiber Optic,7,3,110.1,0
Yes,Yes,No,No,Yes,4,0,3,Month-to-Month,None,Mailed Check,Fiber Optic,4,0,76.4,1
No,No,No,No,No,3,0,3,Two Year,None,Credit Card,None,2,4,25.0,0
No,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Cable,4,2,48.85,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Mailed Check,Cable,2,2,25.65,0
No,Yes,No,No,Yes,0,1,3,Month-to-Month,None,Bank Withdrawal,DSL,4,3,59.7,0
Yes,Yes,Yes,No,Yes,4,0,0,Two Year,None,Credit Card,DSL,7,4,84.1,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Cable,2,0,25.1,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,2,90.9,1
Yes,Yes,Yes,Yes,Yes,0,0,0,One Year,None,Bank Withdrawal,DSL,6,2,60.25,0
Yes,Yes,No,No,Yes,3,1,1,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,98.85,0
No,Yes,Yes,Yes,Yes,4,1,0,One Year,None,Bank Withdrawal,Cable,7,3,76.25,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,4,2,95.9,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,5,3,99.25,1
No,Yes,No,No,Yes,1,1,3,Month-to-Month,Offer E,Credit Card,DSL,3,0,45.25,0
No,No,No,No,No,2,2,0,Month-to-Month,None,Credit Card,None,1,0,19.65,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,2,98.75,1
Yes,Yes,No,Yes,Yes,0,2,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,6,3,104.8,1
No,Yes,Yes,No,Yes,3,0,0,One Year,None,Credit Card,Cable,5,3,52.7,0
No,No,No,No,No,2,2,2,Two Year,None,Credit Card,None,1,3,20.4,0
No,Yes,Yes,Yes,Yes,4,0,0,Two Year,None,Credit Card,DSL,8,4,92.45,1
Yes,Yes,No,No,No,2,0,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,3,2,73.85,1
Yes,Yes,No,No,No,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,2,0,70.35,0
Yes,Yes,Yes,No,Yes,4,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,6,3,96.85,0
No,Yes,No,No,Yes,4,0,0,One Year,Offer B,Credit Card,Fiber Optic,5,3,89.15,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,DSL,4,1,49.05,0
Yes,Yes,Yes,Yes,Yes,2,1,3,Two Year,Offer A,Credit Card,DSL,6,4,56.4,0
No,Yes,No,Yes,Yes,4,0,0,One Year,None,Bank Withdrawal,Fiber Optic,6,4,102.1,0
Yes,Yes,No,Yes,Yes,4,0,0,One Year,Offer B,Bank Withdrawal,Cable,7,3,111.95,1
No,No,No,No,No,2,0,0,Month-to-Month,Offer D,Bank Withdrawal,None,1,2,19.0,0
Yes,Yes,Yes,Yes,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,0,86.25,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,1,75.2,0
Yes,Yes,Yes,No,Yes,1,0,0,One Year,Offer C,Bank Withdrawal,Fiber Optic,6,3,103.8,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,69.65,1
No,No,No,No,No,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,None,1,2,19.75,1
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,1,80.1,1
Yes,Yes,No,Yes,No,0,1,0,One Year,None,Bank Withdrawal,DSL,3,3,54.3,0
No,No,No,No,No,4,0,3,One Year,None,Credit Card,None,1,2,19.65,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,3,85.2,1
No,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Credit Card,Cable,3,0,45.05,1
Yes,Yes,No,No,No,4,1,0,One Year,None,Bank Withdrawal,DSL,3,3,51.0,0
No,Yes,No,No,No,3,0,0,Month-to-Month,Offer A,Credit Card,Fiber Optic,4,4,89.4,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,88.35,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,5,3,98.7,1
No,No,No,No,No,3,0,0,Month-to-Month,Offer E,Credit Card,None,2,0,25.25,0
Yes,Yes,No,Yes,Yes,4,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,6,4,106.8,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,69.2,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,1,84.6,1
No,No,No,No,No,3,0,1,One Year,None,Credit Card,None,1,3,20.6,0
No,Yes,Yes,Yes,Yes,3,0,0,Two Year,None,Credit Card,DSL,7,3,74.05,0
No,No,No,No,No,0,1,3,Two Year,Offer B,Credit Card,None,1,3,19.6,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,75.65,0
No,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer C,Credit Card,Fiber Optic,6,3,105.95,1
Yes,Yes,Yes,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,0,102.45,1
No,No,No,No,No,3,2,0,Two Year,Offer C,Credit Card,None,1,3,19.6,0
Yes,Yes,No,No,Yes,4,0,0,Two Year,None,Bank Withdrawal,Cable,6,4,80.55,1
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,100.0,0
No,Yes,No,Yes,Yes,4,0,2,One Year,None,Bank Withdrawal,Fiber Optic,5,3,100.25,0
No,Yes,No,No,No,2,0,0,Month-to-Month,Offer D,Credit Card,DSL,2,1,29.5,1
No,Yes,Yes,No,Yes,2,0,0,One Year,None,Bank Withdrawal,Cable,5,3,64.65,0
No,Yes,Yes,Yes,Yes,2,1,3,Two Year,Offer B,Bank Withdrawal,Fiber Optic,7,4,110.3,0
No,Yes,Yes,No,Yes,4,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,0,80.7,0
No,No,No,No,No,1,0,0,One Year,None,Credit Card,None,1,1,20.35,0
Yes,Yes,No,Yes,No,4,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,6,1,111.4,0
Yes,Yes,No,Yes,Yes,2,0,3,One Year,None,Credit Card,DSL,4,3,51.45,0
Yes,Yes,No,No,Yes,4,0,3,Two Year,Offer C,Bank Withdrawal,Fiber Optic,6,3,93.5,0
No,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,0,90.4,0
Yes,Yes,No,Yes,Yes,1,0,0,Two Year,Offer B,Mailed Check,DSL,6,3,79.6,0
Yes,Yes,No,Yes,Yes,4,0,3,Month-to-Month,None,Credit Card,Fiber Optic,5,4,100.05,1
Yes,No,No,No,No,1,0,0,One Year,None,Credit Card,None,1,2,20.35,0
No,No,No,No,No,3,2,3,Two Year,None,Credit Card,None,1,2,20.85,0
No,Yes,No,Yes,Yes,4,0,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,7,4,111.65,0
No,No,No,No,No,1,0,0,Month-to-Month,Offer E,Credit Card,None,1,1,20.4,0
No,Yes,No,No,Yes,3,1,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,4,2,97.0,0
No,Yes,No,Yes,Yes,0,2,0,One Year,Offer A,Bank Withdrawal,Cable,5,4,60.35,0
Yes,No,No,No,No,3,0,0,Month-to-Month,None,Mailed Check,None,1,0,20.45,0
No,Yes,Yes,No,Yes,1,0,3,Two Year,Offer A,Bank Withdrawal,Cable,5,4,42.1,0
Yes,Yes,Yes,No,Yes,1,1,1,One Year,Offer B,Bank Withdrawal,DSL,4,4,49.7,0
Yes,Yes,No,No,Yes,4,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,5,2,80.35,0
Yes,Yes,No,No,Yes,4,1,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,5,3,103.95,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer C,Bank Withdrawal,DSL,3,3,50.75,1
Yes,Yes,No,Yes,No,0,2,2,Two Year,None,Bank Withdrawal,Fiber Optic,6,4,110.2,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer C,Credit Card,Fiber Optic,6,3,95.1,0
No,Yes,No,Yes,Yes,0,0,0,Two Year,Offer C,Bank Withdrawal,Fiber Optic,7,3,108.9,0
No,Yes,No,No,Yes,2,1,3,Month-to-Month,Offer E,Credit Card,Fiber Optic,3,0,69.95,0
No,Yes,No,No,No,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,1,0,25.25,0
Yes,Yes,Yes,No,No,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,95.0,1
Yes,Yes,No,Yes,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,3,106.15,1
No,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,3,2,70.5,0
Yes,Yes,No,Yes,Yes,4,0,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,5,3,98.9,1
No,Yes,No,No,Yes,0,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,4,3,85.55,1
No,Yes,No,No,Yes,1,1,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,0,44.8,0
No,Yes,Yes,No,Yes,3,0,0,Month-to-Month,Offer D,Credit Card,DSL,5,2,64.4,0
Yes,Yes,No,Yes,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,0,90.4,0
Yes,No,No,No,No,2,1,3,Two Year,None,Bank Withdrawal,None,1,2,19.75,0
Yes,Yes,Yes,Yes,Yes,2,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,6,4,105.65,0
No,Yes,Yes,Yes,Yes,3,1,2,One Year,None,Credit Card,DSL,5,2,57.2,0
