online_security,paperless_billing,contract,internet_type,offer,payment_method,age_bins,family_size_bins,number_of_referrals_bins,tenure_in_months_bins,total_of_services_add,monthly_charge,churn_value
No,No,One Year,Fiber Optic,Offer B,Credit Card,1,2,2,6,6,103.9,0
Yes,Yes,Month-to-Month,Cable,None,Mailed Check,3,0,0,1,4,51.0,1
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,0,0,2,3,86.0,1
No,Yes,Month-to-Month,Cable,Offer E,Credit Card,0,2,0,1,4,69.4,0
No,No,Two Year,None,Offer B,Credit Card,3,0,0,6,2,24.2,0
No,Yes,Two Year,Fiber Optic,None,Credit Card,4,1,2,3,4,85.7,0
No,No,Month-to-Month,DSL,Offer E,Credit Card,1,0,0,0,2,24.3,0
Yes,No,Two Year,DSL,None,Credit Card,1,1,3,6,8,72.1,0
Yes,No,Month-to-Month,DSL,None,Bank Withdrawal,0,0,0,2,5,65.35,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,1,1,1,2,6,104.2,1
Yes,Yes,Month-to-Month,DSL,None,Credit Card,1,2,3,0,4,48.75,0
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,0,1,2,5,4,91.15,0
No,No,Month-to-Month,DSL,Offer E,Mailed Check,3,1,2,1,3,40.65,1
No,Yes,Month-to-Month,Fiber Optic,None,Mailed Check,0,0,0,2,5,98.55,0
Yes,No,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,1,3,1,3,7,89.3,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,1,2,5,101.1,1
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,1,3,2,4,96.8,0
Yes,No,Month-to-Month,DSL,None,Bank Withdrawal,4,1,1,2,5,66.4,0
Yes,Yes,Two Year,Fiber Optic,None,Credit Card,3,2,3,6,7,101.1,0
Yes,No,One Year,DSL,Offer A,Credit Card,2,0,0,6,7,76.75,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,0,4,85.05,1
No,Yes,Month-to-Month,DSL,None,Mailed Check,2,0,0,0,3,54.75,1
No,No,One Year,None,Offer D,Mailed Check,1,0,0,2,1,19.45,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,1,0,0,4,5,80.45,1
No,No,Two Year,None,Offer A,Credit Card,3,2,3,6,1,19.8,0
Yes,Yes,One Year,Fiber Optic,Offer B,Credit Card,4,1,3,4,7,109.55,1
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,1,2,5,99.85,1
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,0,1,2,5,5,97.05,0
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,2,0,0,0,3,45.65,1
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,3,1,1,2,5,100.0,1
No,No,Two Year,None,None,Bank Withdrawal,2,2,1,6,2,24.7,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,2,6,6,103.4,1
No,No,Month-to-Month,None,None,Credit Card,0,0,0,0,1,19.4,0
Yes,No,Two Year,Fiber Optic,Offer A,Bank Withdrawal,3,2,0,6,8,114.45,0
Yes,No,Two Year,DSL,None,Bank Withdrawal,4,1,3,6,8,78.45,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,3,0,0,2,5,80.05,0
Yes,Yes,Two Year,DSL,Offer A,Mailed Check,3,0,0,6,5,47.4,0
No,Yes,Month-to-Month,None,None,Bank Withdrawal,4,0,0,0,1,19.45,1
No,No,One Year,None,Offer D,Credit Card,2,3,1,2,1,19.65,0
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,0,2,0,0,1,25.3,1
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,0,0,0,0,3,29.65,1
No,Yes,Two Year,Cable,None,Bank Withdrawal,4,0,0,1,5,64.95,0
No,No,Two Year,None,Offer A,Bank Withdrawal,3,3,2,6,2,24.3,0
Yes,No,Two Year,DSL,None,Credit Card,4,1,3,6,8,90.05,0
No,No,Month-to-Month,Cable,None,Credit Card,1,0,0,0,3,45.45,0
No,Yes,One Year,Cable,None,Credit Card,4,0,0,2,4,49.85,0
No,No,Two Year,Fiber Optic,Offer C,Bank Withdrawal,0,0,0,3,5,99.3,0
Yes,Yes,Two Year,DSL,None,Bank Withdrawal,3,0,0,6,6,62.5,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,1,0,0,4,5,103.8,0
No,No,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,2,1,3,4,5,80.45,0
No,No,One Year,None,None,Credit Card,2,2,1,5,1,19.4,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,3,0,0,3,6,85.2,0
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,1,3,89.3,1
No,No,One Year,Fiber Optic,Offer B,Bank Withdrawal,4,0,0,4,3,73.85,0
Yes,Yes,Two Year,DSL,None,Mailed Check,2,2,2,6,8,90.6,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,2,0,0,5,5,106.65,0
No,No,Two Year,None,None,Credit Card,3,2,0,2,1,20.85,0
No,No,Month-to-Month,None,Offer D,Credit Card,3,0,0,2,2,24.8,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,0,1,0,6,6,104.0,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,3,1,1,3,2,90.4,1
No,Yes,Month-to-Month,Cable,Offer C,Bank Withdrawal,0,0,0,4,3,64.75,1
Yes,No,Two Year,DSL,None,Credit Card,0,1,1,6,7,83.5,0
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,3,5,98.65,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,1,2,0,2,7,92.7,0
No,No,Two Year,None,Offer B,Credit Card,2,2,0,6,1,19.95,0
Yes,Yes,Two Year,DSL,Offer B,Credit Card,1,0,0,4,6,65.0,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,0,2,3,5,6,93.65,0
No,No,Month-to-Month,None,Offer D,Bank Withdrawal,1,2,0,2,1,19.05,0
Yes,No,One Year,DSL,None,Credit Card,1,2,0,2,5,64.85,0
No,Yes,Two Year,None,None,Credit Card,3,1,0,3,2,25.85,0
Yes,No,One Year,Fiber Optic,None,Bank Withdrawal,0,2,3,2,4,101.9,0
No,No,Two Year,None,Offer B,Bank Withdrawal,1,1,3,5,1,20.15,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,1,1,2,4,94.75,0
No,Yes,One Year,None,Offer E,Credit Card,1,2,3,1,1,19.7,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,2,5,99.85,1
No,No,Month-to-Month,None,None,Credit Card,0,1,0,1,1,19.55,0
No,Yes,Month-to-Month,None,None,Bank Withdrawal,2,0,0,2,2,26.35,0
No,No,Two Year,None,None,Bank Withdrawal,3,0,0,5,1,21.0,0
No,No,One Year,None,None,Bank Withdrawal,1,0,0,6,1,19.7,0
Yes,Yes,One Year,DSL,Offer C,Bank Withdrawal,3,1,1,3,4,62.15,0
Yes,Yes,One Year,Fiber Optic,Offer A,Credit Card,1,2,2,6,7,95.15,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,2,1,1,6,5,88.4,0
No,No,Month-to-Month,DSL,None,Bank Withdrawal,4,0,0,0,2,24.35,1
No,No,Month-to-Month,None,None,Bank Withdrawal,1,2,0,0,1,20.2,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,3,0,0,3,5,100.5,0
No,Yes,Month-to-Month,None,Offer E,Credit Card,2,0,0,0,1,20.25,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,2,1,4,6,95.95,0
No,No,Month-to-Month,DSL,None,Credit Card,1,0,0,1,4,70.5,0
Yes,No,Two Year,DSL,Offer B,Credit Card,3,2,3,6,6,63.55,0
Yes,No,Month-to-Month,Fiber Optic,Offer D,Credit Card,3,0,0,2,6,103.85,0
No,Yes,Month-to-Month,DSL,Offer B,Bank Withdrawal,2,2,2,5,5,66.8,0
No,No,Two Year,Fiber Optic,None,Bank Withdrawal,1,1,2,5,6,107.95,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,3,70.15,0
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,4,76.1,0
Yes,No,Two Year,Fiber Optic,None,Bank Withdrawal,2,3,3,6,8,114.6,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,4,0,0,3,6,83.85,1
No,No,Two Year,None,None,Credit Card,3,3,0,2,2,23.85,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,4,1,1,4,5,101.0,1
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,2,3,2,4,85.6,0
Yes,No,Month-to-Month,Fiber Optic,None,Credit Card,2,0,0,1,4,74.35,0
No,No,Month-to-Month,DSL,None,Bank Withdrawal,2,0,0,0,3,45.3,1
No,No,One Year,None,None,Bank Withdrawal,2,2,0,0,1,20.5,0
Yes,No,Two Year,DSL,Offer B,Bank Withdrawal,0,1,1,5,5,57.55,1
Yes,No,Two Year,DSL,Offer A,Credit Card,2,0,0,6,7,77.35,0
No,No,Two Year,None,Offer B,Mailed Check,3,0,0,6,2,25.0,0
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,0,0,0,3,80.5,1
Yes,No,Two Year,DSL,None,Bank Withdrawal,3,0,0,6,8,89.65,0
Yes,Yes,Two Year,DSL,None,Credit Card,3,1,3,6,6,64.8,0
No,No,Month-to-Month,Cable,Offer D,Mailed Check,1,0,0,2,4,51.5,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,0,4,74.25,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,2,1,1,5,5,98.4,1
Yes,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,1,1,2,5,5,89.8,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,4,0,0,0,4,75.45,1
Yes,Yes,One Year,DSL,Offer B,Mailed Check,1,1,0,5,5,64.3,0
No,No,Month-to-Month,None,None,Credit Card,3,0,0,0,1,19.75,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,1,3,2,2,68.6,0
No,No,Two Year,DSL,None,Bank Withdrawal,2,3,0,6,4,54.65,0
Yes,No,One Year,Cable,None,Bank Withdrawal,0,0,0,6,8,68.8,0
No,Yes,Two Year,Cable,Offer A,Bank Withdrawal,1,1,1,6,6,80.45,0
Yes,No,Two Year,DSL,Offer A,Credit Card,0,3,3,6,5,38.5,0
No,No,Month-to-Month,None,None,Credit Card,1,0,0,2,1,19.45,0
No,Yes,One Year,DSL,None,Credit Card,2,1,2,5,6,69.55,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,1,2,2,5,6,103.4,0
Yes,Yes,One Year,Fiber Optic,Offer A,Bank Withdrawal,2,0,0,6,8,104.55,0
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,1,1,1,4,6,102.6,1
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,4,1,1,1,4,95.6,1
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,0,1,1,0,4,50.15,1
No,No,Two Year,None,None,Bank Withdrawal,3,0,0,4,1,19.95,0
No,No,Two Year,None,None,Mailed Check,4,0,0,4,1,20.2,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer B,Credit Card,3,3,3,4,7,110.1,0
No,Yes,Month-to-Month,Fiber Optic,None,Mailed Check,4,1,3,0,4,76.4,1
No,No,Two Year,None,None,Credit Card,3,1,3,6,2,25.0,0
No,No,Month-to-Month,Cable,None,Bank Withdrawal,1,0,0,2,4,48.85,0
No,Yes,Month-to-Month,Cable,None,Mailed Check,3,0,0,2,2,25.65,0
No,No,Month-to-Month,DSL,None,Bank Withdrawal,0,2,3,3,4,59.7,0
Yes,Yes,Two Year,DSL,None,Credit Card,4,1,1,6,7,84.1,0
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,4,0,0,0,2,25.1,1
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,1,1,2,5,90.9,1
Yes,Yes,One Year,DSL,None,Bank Withdrawal,1,0,0,2,6,60.25,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,2,2,3,5,98.85,0
Yes,No,One Year,Cable,None,Bank Withdrawal,4,2,1,5,7,76.25,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,4,0,0,2,4,95.9,1
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,1,0,0,4,5,99.25,1
No,No,Month-to-Month,DSL,Offer E,Credit Card,1,2,3,0,3,45.25,0
No,No,Month-to-Month,None,None,Credit Card,2,3,1,0,1,19.65,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,3,5,98.75,1
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,0,3,0,3,6,104.8,1
Yes,No,One Year,Cable,None,Credit Card,3,0,0,5,5,52.7,0
No,No,Two Year,None,None,Credit Card,2,3,2,5,1,20.4,0
Yes,No,Two Year,DSL,None,Credit Card,4,1,0,6,8,92.45,1
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,2,0,0,2,3,73.85,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,2,70.35,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,5,6,96.85,0
No,No,One Year,Fiber Optic,Offer B,Credit Card,4,0,0,4,5,89.15,0
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,3,0,0,2,4,49.05,0
Yes,Yes,Two Year,DSL,Offer A,Credit Card,2,2,3,6,6,56.4,0
No,No,One Year,Fiber Optic,None,Bank Withdrawal,4,0,0,6,6,102.1,0
No,Yes,One Year,Cable,Offer B,Bank Withdrawal,4,1,1,4,7,111.95,1
No,No,Month-to-Month,None,Offer D,Bank Withdrawal,2,0,0,2,1,19.0,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,0,6,86.25,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,3,0,0,1,4,75.2,0
Yes,Yes,One Year,Fiber Optic,Offer C,Bank Withdrawal,1,1,0,3,6,103.8,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,0,3,69.65,1
No,No,Month-to-Month,None,Offer D,Bank Withdrawal,3,0,0,2,1,19.75,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,1,3,80.1,1
No,Yes,One Year,DSL,None,Bank Withdrawal,0,2,1,4,3,54.3,0
No,No,One Year,None,None,Credit Card,4,1,3,2,1,19.65,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,4,6,85.2,1
No,No,Month-to-Month,Cable,None,Credit Card,0,0,0,0,3,45.05,1
No,Yes,One Year,DSL,None,Bank Withdrawal,4,2,1,3,3,51.0,0
No,No,Month-to-Month,Fiber Optic,Offer A,Credit Card,3,0,0,6,4,89.4,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,0,0,0,3,88.35,1
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,4,1,1,5,5,98.7,1
No,No,Month-to-Month,None,Offer E,Credit Card,3,0,0,0,2,25.25,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,6,6,106.8,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,3,69.2,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,4,0,0,1,4,84.6,1
No,No,One Year,None,None,Credit Card,3,1,2,3,1,20.6,0
Yes,No,Two Year,DSL,None,Credit Card,3,0,0,4,7,74.05,0
No,No,Two Year,None,Offer B,Credit Card,0,2,3,4,1,19.6,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,0,4,75.65,0
No,No,Month-to-Month,Fiber Optic,Offer C,Credit Card,4,0,0,3,6,105.95,1
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,1,0,6,102.45,1
No,No,Two Year,None,Offer C,Credit Card,3,3,1,3,1,19.6,0
No,Yes,Two Year,Cable,None,Bank Withdrawal,4,1,1,6,6,80.55,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,3,5,100.0,0
No,No,One Year,Fiber Optic,None,Bank Withdrawal,4,1,3,4,5,100.25,0
No,No,Month-to-Month,DSL,Offer D,Credit Card,2,0,0,1,2,29.5,1
Yes,No,One Year,Cable,None,Bank Withdrawal,2,0,0,4,5,64.65,0
Yes,No,Two Year,Fiber Optic,Offer B,Bank Withdrawal,2,2,3,6,7,110.3,0
Yes,No,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,0,5,80.7,0
No,No,One Year,None,None,Credit Card,2,0,0,1,1,20.35,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,1,6,111.4,0
No,Yes,One Year,DSL,None,Credit Card,2,1,3,3,4,51.45,0
No,Yes,Two Year,Fiber Optic,Offer C,Bank Withdrawal,4,1,3,3,6,93.5,0
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,0,0,0,5,90.4,0
No,Yes,Two Year,DSL,Offer B,Mailed Check,1,0,0,5,6,79.6,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,4,1,3,6,5,100.05,1
No,Yes,One Year,None,None,Credit Card,1,0,0,2,1,20.35,0
No,No,Two Year,None,None,Credit Card,3,3,3,2,1,20.85,0
No,No,Two Year,Fiber Optic,Offer A,Bank Withdrawal,4,0,0,6,7,111.65,0
No,No,Month-to-Month,None,Offer E,Credit Card,1,0,0,1,1,20.4,0
No,No,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,2,1,2,4,97.0,0
No,No,One Year,Cable,Offer A,Bank Withdrawal,0,3,1,6,5,60.35,0
No,Yes,Month-to-Month,None,None,Mailed Check,3,0,0,0,1,20.45,0
Yes,No,Two Year,Cable,Offer A,Bank Withdrawal,1,1,3,6,5,42.1,0
Yes,Yes,One Year,DSL,Offer B,Bank Withdrawal,1,2,2,6,4,49.7,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,2,5,80.35,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,4,2,1,3,5,103.95,0
No,Yes,Month-to-Month,DSL,Offer C,Bank Withdrawal,1,0,0,4,3,50.75,1
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,0,3,2,6,6,110.2,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,2,0,0,4,6,95.1,0
No,No,Two Year,Fiber Optic,Offer C,Bank Withdrawal,0,0,0,3,7,108.9,0
No,No,Month-to-Month,Fiber Optic,Offer E,Credit Card,2,2,3,0,3,69.95,0
No,No,Month-to-Month,DSL,Offer E,Bank Withdrawal,2,0,0,0,1,25.25,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,3,5,95.0,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,1,4,6,106.15,1
No,No,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,0,0,2,3,70.5,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,4,1,1,3,5,98.9,1
No,No,One Year,Fiber Optic,Offer B,Bank Withdrawal,0,1,0,5,4,85.55,1
No,No,Month-to-Month,DSL,Offer E,Bank Withdrawal,2,2,1,0,3,44.8,0
Yes,No,Month-to-Month,DSL,Offer D,Credit Card,3,0,0,2,5,64.4,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,5,90.4,0
No,Yes,Two Year,None,None,Bank Withdrawal,2,2,3,2,1,19.75,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,2,0,0,6,6,105.65,0
Yes,No,One Year,DSL,None,Credit Card,3,2,2,2,5,57.2,0
No,Yes,Month-to-Month,Cable,None,Credit Card,3,0,0,0,5,64.4,0
No,No,Month-to-Month,None,Offer D,Credit Card,2,0,0,1,1,20.25,0
Yes,Yes,One Year,Cable,None,Bank Withdrawal,2,0,0,4,3,30.75,0
No,No,Two Year,None,None,Credit Card,3,3,3,0,1,20.35,0
No,Yes,Two Year,Cable,None,Credit Card,2,1,3,6,6,80.7,0
No,No,One Year,None,None,Credit Card,2,0,0,0,1,21.2,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,0,1,3,6,6,106.3,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,0,2,79.75,1
No,Yes,Two Year,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,1,3,69.7,0
Yes,No,Month-to-Month,DSL,Offer D,Bank Withdrawal,0,2,2,2,6,59.45,0
No,No,Two Year,None,Offer E,Credit Card,0,3,2,1,1,20.0,0
Yes,Yes,One Year,Fiber Optic,None,Credit Card,0,0,0,2,5,99.95,0
Yes,No,Two Year,Cable,Offer A,Bank Withdrawal,0,1,3,6,6,64.55,0
No,No,Two Year,None,None,Credit Card,3,2,3,6,1,19.7,0
No,No,One Year,Fiber Optic,Offer A,Bank Withdrawal,0,0,0,6,7,108.45,1
No,Yes,Month-to-Month,Cable,Offer E,Mailed Check,1,0,0,0,4,50.45,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,0,0,0,2,70.25,0
No,Yes,One Year,DSL,None,Bank Withdrawal,1,0,0,3,3,50.05,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,0,0,0,2,4,73.7,0
Yes,No,Two Year,Fiber Optic,Offer A,Bank Withdrawal,1,1,1,6,8,93.9,1
Yes,No,Two Year,DSL,Offer A,Credit Card,2,2,1,6,7,84.7,0
Yes,No,Two Year,Cable,Offer A,Credit Card,0,1,1,6,7,64.45,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,4,0,0,2,3,74.7,0
Yes,No,Two Year,DSL,Offer A,Credit Card,3,2,1,6,8,88.7,0
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,1,4,74.95,1
No,Yes,Two Year,None,None,Credit Card,3,3,1,1,1,20.4,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,1,0,2,5,106.6,1
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,3,0,0,0,3,61.3,0
No,No,One Year,None,Offer C,Credit Card,3,3,1,4,1,20.3,0
Yes,No,One Year,Cable,None,Credit Card,3,0,0,5,6,59.9,0
No,No,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,2,0,0,2,7,89.4,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,0,3,79.1,1
No,Yes,Two Year,Cable,Offer D,Mailed Check,2,0,0,1,3,29.6,0
Yes,No,One Year,DSL,Offer B,Credit Card,3,2,3,4,6,56.9,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,1,2,4,85.45,1
Yes,Yes,Two Year,DSL,None,Bank Withdrawal,3,3,3,6,6,63.8,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,4,1,1,1,4,74.4,1
No,Yes,Month-to-Month,None,Offer E,Credit Card,0,0,0,0,1,19.65,0
No,Yes,Month-to-Month,None,Offer D,Bank Withdrawal,2,2,0,2,1,20.0,0
No,No,Month-to-Month,DSL,None,Bank Withdrawal,1,0,0,0,4,49.95,0
Yes,No,Two Year,Cable,None,Credit Card,0,3,3,4,5,40.65,0
No,No,One Year,None,None,Credit Card,2,0,0,0,1,19.95,0
No,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,0,0,5,4,101.05,0
No,No,Two Year,None,None,Credit Card,1,2,3,5,1,20.3,0
No,Yes,One Year,DSL,None,Credit Card,2,0,0,4,6,80.75,0
Yes,No,Month-to-Month,Cable,Offer E,Mailed Check,1,0,0,1,5,58.5,1
No,No,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,2,0,0,3,4,85.15,1
No,No,Two Year,None,None,Mailed Check,1,0,0,4,1,20.15,0
No,Yes,Month-to-Month,DSL,None,Credit Card,2,2,1,0,2,31.0,1
No,Yes,Two Year,None,Offer C,Bank Withdrawal,0,3,1,3,2,24.1,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,3,1,1,0,3,71.0,1
Yes,No,Two Year,Cable,None,Bank Withdrawal,2,0,0,6,4,43.9,0
No,No,Month-to-Month,None,Offer E,Credit Card,1,0,0,1,1,20.7,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,4,1,1,5,7,109.1,0
No,Yes,Month-to-Month,None,Offer D,Credit Card,3,2,1,2,1,20.45,0
Yes,No,Two Year,Cable,Offer C,Bank Withdrawal,3,0,0,4,3,31.05,0
